qid,Len,Lml,Den,Dml,P31,S854,P2093,P212,P957,P407,P495,P577,P1104,P136,P393
,Sevanavakasa Niyamam : Ariyendathellam,സേവനാവകാശ നിയമം : അറിയേണ്ടതെല്ലാം,Malayalam-language law published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള നിയമ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sevanavakasa-niyamam-ariyendathellam""","""Advt Rajesh Nedumbram""","""9788126452408""",,Q36236,Q668,+2014-11-17T00:00:00Z/11,120,Q7748,"""1"""
,Seven Little Monkeys,ഏഴ് ലൈറ്റ്‌ലെ മോൺകെയ്സ്,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/seven-little-monkeys""","""V. B. John""","""9789354829772""",,Q36236,Q668,+2022-09-06T00:00:00Z/11,128,,"""1"""
,Sex Oru Padhanam,സെക്സ് ഒരു പതനം,Malayalam-language sexuality published by Rainbow,റെയിൻബോ പ്രസിദ്ധീകരിച്ച മലയാള ലൈംഗികത സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sex-oru-padhanam""","""Adam Chovva""",,,Q36236,Q668,+2015-06-01T00:00:00Z/11,124,,"""1"""
,Sexum Vivahajeevithavum,സെക്സും വിവാഹജീവിതവും,Malayalam-language sexuality published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ലൈംഗികത സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sexum-vivahajeevithavum""","""John K J MS""",,"""8124008930""",Q36236,Q668,+2005-01-01T00:00:00Z/11,151,,"""2"""
,Shabdatharapatham,ശബ്ദതാരാപഥം,Malayalam-language memoirs published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/shabdatharapatham""","""Resul Pookutty""","""9789354323164""",,Q36236,Q668,+2022-11-10T00:00:00Z/11,368,Q112983,"""1"""
,Shadpadangalude Lokam,ഷഡ്പദങ്ങളുടെ ലോകം,Malayalam-language reference published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/shadpadangalude-lokam""","""Shajimon P.K""","""9789387169203""",,Q36236,Q668,+2021-04-16T00:00:00Z/11,136,Q13136,"""2"""
,Shakespeare Naatakangal (print on Demand),ഷേക്‌സ്‌പേരെ നാടകങ്ങൾ (പ്രിന്റ് ഓൺ ഡിമാൻഡ്),Malayalam-language drama published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നാടകം,Q7725634,"""https://dcbookstore.com/books/shakespeare-naatakangal""","""William Shakespeare""","""9788126436484""",,Q36236,Q668,+2012-09-19T00:00:00Z/11,1215,Q25379,"""1"""
,Shakespeare Sampoorna Krithikal-4 Volumes(print on Demand),ഷേക്‌സ്‌പേരെ സമ്പൂർണ കൃതികൾ-4 വോളമീസ്(പ്രിന്റ് ഓൺ ഡിമാൻഡ്),Malayalam-language collections & selected works published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സമാഹാരങ്ങളും തിരഞ്ഞെടുത്ത കൃതികളും,Q7725634,"""https://dcbookstore.com/books/shakespeare-sampoorna-krithikal""","""William Shakespeare""","""9788126401352""",,Q36236,Q668,+2016-07-05T00:00:00Z/11,4000,Q20540385,"""1"""
,Shani Mahathmyam (the Greatness of Saturn),ശനി മാഹാത്മ്യം (ദി ഗ്രീറ്നെസ്സ് ഓഫ് സാറ്റ്ന),Malayalam-language astrology published by Sadhana : an Imprint of DC Books,സാധന (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ജ്യോതിഷ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/shani-mahathmyam""","""Robert E Svoboda""","""9788126450152""",,Q36236,Q668,+2014-04-15T00:00:00Z/11,278,Q34362,"""1"""
,Shantaram [malayalam],ശണ്ഠരം [മലയാളം],Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/shantaram-malayalam""","""Gregory David Roberts""","""9788126442164""",,Q36236,Q668,+2025-12-30T00:00:00Z/11,646,Q8261,"""9"""
,Shappu Currykal (shappukarikal),ഷാപ്പ് ക്യൂറികൾ (ഷാപ്പുകാരികൾ),Malayalam-language cookery published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള പാചക പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/shappu-currykal""","""Shaji Kumar K N""","""9788126443178""",,Q36236,Q668,+2016-07-19T00:00:00Z/11,88,Q605076,"""6"""
,Shappu Pattukal,ഷാപ്പ് പാട്ടുകൾ,Malayalam-language music published by Litmus,ലിറ്റ്മസ് പ്രസിദ്ധീകരിച്ച മലയാള സംഗീത പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/shappu-pattukal""","""Shaji Kumar K N""","""9788126443116""",,Q36236,Q668,+2013-10-09T00:00:00Z/11,104,Q638,"""2"""
,Shareeram Ariyunnathu,ശരീരം അറിയുന്നത്,Malayalam-language short stories published by Pappiyon,പാപ്പിയോൺ പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/shareeram-ariyunnathu""","""C V Balakrishnan""",,,Q36236,Q668,+2015-06-01T00:00:00Z/11,146,Q49084,"""1"""
,Shashi Tharoorinte Prabhashanangal,ശശി തരൂരിന്റെ പ്രഭാഷണങ്ങൾ,Malayalam-language essays published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഉപന്യാസങ്ങൾ,Q7725634,"""https://dcbookstore.com/books/shashi-tharoorinte-prabhashanangal""","""Shashi Tharoor""","""9789389869552""",,Q36236,Q668,+2020-06-10T00:00:00Z/11,250,Q35760,"""1"""
,Sherlock Holmes Sampoorna Kruthikal (2 Volumes),ഷെർലക് ഹോൾഎംഎസ് സമ്പൂർണ കൃതികൾ (2 വോളമീസ്),Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/sherlock-holmes-sampoorna-kruthikal""","""Sir Arthur Conan Doyle""","""9788126436156""",,Q36236,Q668,+2024-10-31T00:00:00Z/11,2000,,"""9"""
,Sherlock Holmesum Murinja Viralukalum,ഷെർലക് ഹോൾഎംഎസും മുറിഞ്ഞ വിരലുകളും,Malayalam-language novel published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/sherlock-holmesum-murinja-viralukalum""","""Ranju Kilimanoor""","""9789355493033""",,Q36236,Q668,+2022-10-04T00:00:00Z/11,176,Q8261,"""1"""
,Shikhandini,ശിഖണ്ഡിനി,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/shikhandini""","""Sheeja Vakkom""","""9789354325731""",,Q36236,Q668,+2023-11-30T00:00:00Z/11,208,Q482,"""5"""
,Shikhandiyum Mattarum Parayatha Apoorvakathakalum,ശിഖണ്ഡിയും മറ്റാരും പറയാത്ത അപൂർവകഥകളും,Malayalam-language epics & myths published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഇതിഹാസങ്ങളും പുരാണങ്ങളും,Q7725634,"""https://dcbookstore.com/books/shikhandiyum-mattarum-parayatha-apoorvakathakalum""","""Devdutt Pattanaik""","""9789352826667""",,Q36236,Q668,+2019-05-15T00:00:00Z/11,190,Q9134,"""1"""
,Shivakathamrutham,ശിവകഥാമൃതം,Malayalam-language religion published by Sadhana : an Imprint of DC Books,സാധന (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള മതം സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/shivakathamrutham""","""K Radhamany Thampuratty""","""9789352825035""",,Q36236,Q668,+2025-06-17T00:00:00Z/11,188,,"""2"""
,Shivan Muthal Sankaran Vare,ശിവൻ മുതൽ ശങ്കറാണ് വരെ,Malayalam-language epics & myths published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഇതിഹാസങ്ങളും പുരാണങ്ങളും,Q7725634,"""https://dcbookstore.com/books/shivan-muthal-sankaran-vare""","""Devdutt Pattanaik""","""9789353907426""",,Q36236,Q668,+2020-11-04T00:00:00Z/11,141,,"""1"""
,Shivavatharangal,ഷിവാവതാരങ്ങൾ,Malayalam-language epics & myths published by Sadhana : an Imprint of DC Books,സാധന (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ഇതിഹാസങ്ങളും പുരാണങ്ങളും,Q7725634,"""https://dcbookstore.com/books/shivavatharangal""","""K Radhamany Thampuratty""","""9789386680471""",,Q36236,Q668,+2025-06-10T00:00:00Z/11,164,Q9134,"""2"""
,Shobhaa @ 60,ശോഭാ @ 60,Malayalam-language autobiography & biography published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആത്മകഥയും ജീവചരിത്രവും,Q7725634,"""https://dcbookstore.com/books/shobhaa-at-60""","""Shobha DE""",,"""8126436255""",Q36236,Q668,+2012-09-27T00:00:00Z/11,230,Q36279,"""1"""
,Shrikhand Kailasayathra,ശൃഖണ്ഡ് കൈലാസയാത്ര,Malayalam-language travel & travelogue published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള യാത്രാവിവരണം,Q7725634,"""https://dcbookstore.com/books/shrikhand-kailasayathra""","""Babu John""","""9789353906849""",,Q36236,Q668,+2021-12-01T00:00:00Z/11,128,Q1072723,"""2"""
,Shubhadinam,ശുഭദിനം,Malayalam-language self help published by Manorama Publication,മനോരമ പബ്ലിക്കേഷൻ പ്രസിദ്ധീകരിച്ച മലയാള സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/shubhadinam""","""Nijoy P. Jose""","""9789389649208""",,Q36236,Q668,+2020-10-08T00:00:00Z/11,164,Q3739522,"""1"""
,Shunyathayude Pusthakam,ശൂന്യതയുടെ പുസ്തകം,Malayalam-language spirituality & mysticism published by Silence Books,സൈലൻസ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആധ്യാത്മികതയും മിസ്റ്റിസിസവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/shunyathayude-pusthakam""","""Osho""",,,Q36236,Q668,+2015-06-01T00:00:00Z/11,298,Q168796,"""1"""
,Shyamavarnan,ശ്യാമവർണൻ,Malayalam-language epics & myths published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഇതിഹാസങ്ങളും പുരാണങ്ങളും,Q7725634,"""https://dcbookstore.com/books/shyamavarnan""","""Devdutt Pattanaik""","""9789353904371""",,Q36236,Q668,+2021-01-01T00:00:00Z/11,304,,"""1"""
,Sidhar Gadhakal,സിദ്ധർ കഥകൾ,Malayalam-language philosophy published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തത്ത്വശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sidhar-gadhakal""","""Chandrasekharan Nair K G""","""9788124020265""",,Q36236,Q668,+2015-10-27T00:00:00Z/11,264,,"""1"""
,Silk Route,സിൽക്ക് റൂട്ട്,Malayalam-language travel & travelogue published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള യാത്രാവിവരണം,Q7725634,"""https://dcbookstore.com/books/silk-route""","""Baiju N. Nair""","""9789353904630""",,Q36236,Q668,+2025-09-29T00:00:00Z/11,128,Q1072723,"""7"""
,Silpadeepakam,ശില്പദീപകം,Malayalam-language architecture & vasthu published by Sadhana : an Imprint of DC Books,സാധന (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള വാസ്തുവിദ്യാ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/silpadeepakam""",,"""9788126441181""",,Q36236,Q668,+2013-04-01T00:00:00Z/11,102,,"""1"""
,Sinkitimunkan,ശിങ്കിടിമുങ്കൻ,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/sinkitimunkan""","""Vaikom Muhammad Basheer""","""9788171303052""",,Q36236,Q668,+2026-02-26T00:00:00Z/11,152,Q49084,"""23"""
,Sir Chathu Leecoke,സർ ചാത്തു ലീക്കകെ,Malayalam-language short stories published by Trissur Current Books,തൃശൂർ കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/sir-chathu-leecoke""","""V K N""","""9788122612202""",,Q36236,Q668,+2014-08-11T00:00:00Z/11,124,Q49084,"""3"""
,Sir Chathuvinte Ruling,സർ ചന്തുവിന്റെ റൂളിംഗ്,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/sir-chathuvinte-ruling""","""V K N""","""9788171303878""",,Q36236,Q668,+2013-06-17T00:00:00Z/11,87,Q49084,"""3"""
,Sirajunnisa,സിറാജുന്നിസ,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/sirajunnisa""","""T. D. Ramakrishnan""","""9788126474493""",,Q36236,Q668,+2023-12-30T00:00:00Z/11,88,Q49084,"""6"""
,Sirassatta Rekthasakshi,ശിരസ്സറ്റ രക്തസാക്ഷി,Malayalam-language politics published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള രാഷ്ട്രീയ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sirassatta-rakthasakshi""","""Pearson N M""","""9788126441723""",,Q36236,Q668,+2013-07-08T00:00:00Z/11,208,Q7163,"""1"""
,Sishuparipalanavum Poshanasastravum,ശിശുപരിപാലനവും പോഷണശാസ്ത്രവും,Malayalam-language health & fitness published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആരോഗ്യവും ക്ഷമതയും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sishuparipalanavum-poshanasastravum""","""Raheena Khader""",,,Q36236,Q668,+2015-06-01T00:00:00Z/11,124,Q12147,"""2"""
,Sishusamrakshanam,ശിശുസംരക്ഷണം,Malayalam-language medical science published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള വൈദ്യശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/sishusamrakshanam""","""R K Suneja""","""9788126424726""",,Q36236,Q668,+2013-11-06T00:00:00Z/11,266,,"""2"""
